num_elements,num_directions,uvw_time,imaging_time
10,1,111,36
25,1,91,37
50,1,90,37
100,1,85,30
250,1,85,35
500,1,76,41
1000,1,103,67
2000,1,134,172
4000,1,384,696
8000,1,1166,3165
16000,1,4305,10829
32000,1,16556,45365
10,5,111,135
25,5,87,165
50,5,82,169
100,5,74,135
250,5,79,145
500,5,98,188
1000,5,149,348
2000,5,278,1103
4000,5,849,3649
6000,5,1886,8138
10000,5,4866,21400
10,10,88,273
25,10,80,283
50,10,80,298
100,10,81,315
250,10,88,299
500,10,100,383
1000,10,189,725
2000,10,458,2127
4000,10,1515,7009
6000,10,3279,16326
10000,10,8699,45371

