num_elements,num_directions,optimization,uvw_time,imaging_time
10,1,optimized,0.15,12.61
10,1,non-optimized,0.64,12.70
25,1,optimized,0.17,13.43
25,1,non-optimized,3.53,13.01
50,1,optimized,0.26,12.94
50,1,non-optimized,13.87,13.30
100,1,optimized,0.57,13.18
100,1,non-optimized,56.87,17.27
250,1,optimized,3.07,15.88
250,1,non-optimized,369.20,45.56
500,1,optimized,14.06,28.36
500,1,non-optimized,1400.19,131.53
1000,1,optimized,42.97,61.10
1000,1,non-optimized,5680.52,506.64
2000,1,optimized,159.95,204.93
2000,1,non-optimized,24663.23,1959.36
4000,1,optimized,722.55,875.17
4000,1,non-optimized,98832.80,7368.21
8000,1,optimized,2804.32,3682.40
8000,1,non-optimized,336436.47,28232.30
16000,1,optimized,10172.28,12810.10
32000,1,optimized,63788.99,48549.20
