u,v
1.65409,-2.75418
-1.65409,2.75418
3.30819,-5.50835
-3.30819,5.50835
4.9623,-8.26253
-4.9623,8.26253
6.61641,-11.0167
-6.61641,11.0167
8.27053,-13.7709
-8.27053,13.7709
9.92465,-16.525
-9.92465,16.525
11.5788,-19.2792
-11.5788,19.2792
13.2329,-22.0334
-13.2329,22.0334
14.8871,-24.7876
-14.8871,24.7876
16.5412,-27.5417
-16.5412,27.5417
18.1954,-30.2959
-18.1954,30.2959
19.8495,-33.0501
-19.8495,33.0501
21.5037,-35.8042
-21.5037,35.8042
23.1579,-38.5584
-23.1579,38.5584
24.8121,-41.3125
-24.8121,41.3125
26.4662,-44.0667
-26.4662,44.0667
28.1204,-46.8209
-28.1204,46.8209
29.7746,-49.575
-29.7746,49.575
31.4288,-52.3292
-31.4288,52.3292
33.083,-55.0833
-33.083,55.0833
34.7398,-57.8418
-34.7398,57.8418
52.9366,-88.1374
-52.9366,88.1374
54.5909,-90.8916
-54.5909,90.8916
56.2452,-93.6457
-56.2452,93.6457
57.8995,-96.3999
-57.8995,96.3999
59.5538,-99.154
-59.5538,99.154
61.2081,-101.908
-61.2081,101.908
67.8255,-112.925
-67.8255,112.925
74.4429,-123.941
-74.4429,123.941
76.0973,-126.695
-76.0973,126.695
77.7517,-129.45
-77.7517,129.45
79.4061,-132.204
-79.4061,132.204
81.0604,-134.958
-81.0604,134.958
82.7148,-137.712
-82.7148,137.712
89.3325,-148.728
-89.3325,148.728
90.9869,-151.483
-90.9869,151.483
92.6414,-154.237
-92.6414,154.237
94.2958,-156.991
-94.2958,156.991
95.9503,-159.745
-95.9503,159.745
97.6047,-162.499
-97.6047,162.499
99.2592,-165.253
-99.2592,165.253
100.916,-168.012
-100.916,168.012
102.571,-170.766
-102.571,170.766
104.225,-173.52
-104.225,173.52
105.88,-176.274
-105.88,176.274
107.534,-179.028
-107.534,179.028
109.189,-181.782
-109.189,181.782
110.843,-184.536
-110.843,184.536
112.498,-187.29
-112.498,187.29
114.152,-190.044
-114.152,190.044
62.0833,-88.3081
-62.0833,88.3081
67.1007,-81.5847
-67.1007,81.5847
72.1181,-74.8614
-72.1181,74.8614
77.1355,-68.138
-77.1355,68.138
82.1465,-61.4233
-82.1465,61.4233
87.1639,-54.7
-87.1639,54.7
92.1813,-47.9767
-92.1813,47.9767
97.1923,-41.262
-97.1923,41.262
102.21,-34.5387
-102.21,34.5387
107.227,-27.8153
-107.227,27.8153
112.238,-21.1007
-112.238,21.1007
117.256,-14.3774
-117.256,14.3774
122.273,-7.65406
-122.273,7.65406
127.284,-0.939394
-127.284,0.939394
132.302,5.78389
-132.302,-5.78389
137.319,12.5072
-137.319,-12.5072
142.33,19.2218
-142.33,-19.2218
